match_id,p1_name,p1_archetype,p2_name,p2_archetype,winner,method,turns,p1_points,p2_points,p1_elo_delta,p2_elo_delta
bf83c8a5-6a44-4892-81c5-c7091f42b358,Haisam,leg_locker,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,4,0,0,-16,16
f9a408dd-a821-4a94-9a6e-287c40a4bfc6,Miyao,guard_puller,Haisam,leg_locker,Haisam,Submission - Rear Naked Choke,6,0,4,-17,17
96b7db5d-ff30-4a43-a391-f933a9deaa16,Rodolfo,pressure_passer,Marcelo,submission_hunter,Marcelo,Submission - Triangle Choke (from Closed Guard),15,3,0,-16,16
ee4aca70-1230-44f9-8678-bf24996bec6d,Marcelo,submission_hunter,Haisam,leg_locker,Haisam,Submission - Rear Naked Choke,11,0,4,-17,17
b07fd133-586b-4790-8086-3482f818f3ed,Ruotolo,scrambler,Iron Mike,wrestler,Iron Mike,Submission - Kimura (from Side Control),3,0,2,-16,16
f4c0d674-1a9e-41dc-b148-ef55f957c355,Iron Mike,wrestler,Miyao,guard_puller,Miyao,Submission - Standing Guillotine,4,0,0,-17,17
41536a4f-e7bb-4abc-8a73-ae1f3375be79,Haisam,leg_locker,Miyao,guard_puller,Haisam,Submission - Toe Hold,23,0,0,16,-16
c34b428f-05b7-473c-beca-6bac7ee13ed7,Haisam,leg_locker,Iron Mike,wrestler,Haisam,Submission - Outside Heel Hook,5,0,0,14,-14
91d2cf6d-7e53-4115-8969-525db62a18fb,Iron Mike,wrestler,Miyao,guard_puller,Iron Mike,Submission - Americana (from Side Control),10,3,0,17,-17
3996b82d-d490-4c5f-8f30-454e826717ec,Iron Mike,wrestler,Ruotolo,scrambler,Ruotolo,Submission chain - Kimura (from Side Control),10,0,11,-17,17
354365b2-2647-44fd-b3af-529d7f851780,Miyao,guard_puller,Marcelo,submission_hunter,Draw,Draw,30,0,0,0,0
f2c43192-4322-44a2-a677-66971594989e,Rodolfo,pressure_passer,Marcelo,submission_hunter,Marcelo,Submission - Anaconda Choke (from Front Headlock),12,0,0,-15,15
fa96312b-f650-4895-951b-f4e76df72e34,Haisam,leg_locker,Miyao,guard_puller,Haisam,Submission - Straight Ankle Lock,5,4,0,13,-13
f3c1eef1-c112-4d26-b2a8-0a43c5cb0b0d,Haisam,leg_locker,Miyao,guard_puller,Haisam,Submission - Kimura (from Side Control),15,0,0,12,-12
367c902c-3755-41d2-af9b-08e39b3cf9d3,Haisam,leg_locker,Marcelo,submission_hunter,Marcelo,Submission - Standing Guillotine,3,0,0,-19,19
b1948428-a663-49d6-b937-83382beae591,Ruotolo,scrambler,Rodolfo,pressure_passer,Rodolfo,Submission - Rear Naked Choke,28,4,10,-17,17
8336a2ca-a9b7-4410-83e5-85c532bd7d1e,Rodolfo,pressure_passer,Iron Mike,wrestler,Iron Mike,Points - 4 to 2,30,2,4,-16,16
3b147a98-d641-47bd-ac70-980ea8e84635,Miyao,guard_puller,Ruotolo,scrambler,Miyao,Submission - Standing Guillotine,13,0,4,17,-17
f7ef100f-cf3a-44f4-aa10-bc890e9280df,Miyao,guard_puller,Iron Mike,wrestler,Iron Mike,Submission - Americana (from Side Control),28,2,10,-15,15
c0318bad-f685-49e8-8ee2-794e2252019e,Miyao,guard_puller,Iron Mike,wrestler,Miyao,Submission - Standing Guillotine,13,2,0,19,-19
60711276-1d75-4547-975c-6f856b6b04c5,Ruotolo,scrambler,Marcelo,submission_hunter,Ruotolo,Submission - Kimura (from Side Control),11,3,0,19,-19
c521aab4-72a4-4618-aa45-a866c87087f1,Rodolfo,pressure_passer,Marcelo,submission_hunter,Marcelo,Submission - Omoplata (from Closed Guard),10,0,0,-14,14
