match_id,bot1,bot2,b1_name,b2_name,b1_pts,b2_pts,winner,method,turns
5bdb9c87-524c-4a51-8bec-5b090d0bca91,guard_puller,submission_hunter,Miyao,Marcelo,2,0,guard_puller,Submission - Cross Collar Choke (from Mount),4
9526eb6a-019d-4e3c-b7d4-cce657e24e51,leg_locker,pressure_passer,Haisam,Rodolfo,0,0,leg_locker,Submission - Outside Heel Hook,3
67742784-3528-4b91-9460-b539e75ec5db,pressure_passer,scrambler,Rodolfo,Ruotolo,0,0,scrambler,Submission - Rear Naked Choke,9
4c607e31-43fe-4830-a619-5cb7ee3f812c,submission_hunter,scrambler,Marcelo,Ruotolo,4,0,submission_hunter,Submission - Arm Triangle (from Side Control),11
a9e4f6cb-fd46-44a7-9a7d-c0388bb31272,leg_locker,submission_hunter,Haisam,Marcelo,0,0,submission_hunter,Submission - Cross Collar Choke (from Closed Guard),3
cb40b384-e920-4424-8a13-12112a3e3626,guard_puller,scrambler,Miyao,Ruotolo,0,0,scrambler,Submission - Rear Naked Choke,5
b4295249-1c22-41af-a855-be92013a690a,wrestler,scrambler,Iron Mike,Ruotolo,6,4,scrambler,Submission - Rear Naked Choke,17
f07cf595-c52e-4033-9579-b6819156149c,wrestler,guard_puller,Iron Mike,Miyao,2,0,wrestler,Points - 2 to 0,21
a3114108-9975-4fe8-8a1e-553ded8253b6,wrestler,pressure_passer,Iron Mike,Rodolfo,0,6,pressure_passer,Submission - Armbar (from Mount),12
01e5ff05-a051-4052-aa91-e1521cbcc395,leg_locker,scrambler,Haisam,Ruotolo,0,0,scrambler,Submission - Rear Naked Choke,3
78f27418-b91e-4e6d-a244-2f8bf8941a96,pressure_passer,submission_hunter,Rodolfo,Marcelo,0,4,submission_hunter,Submission - Kimura (from Side Control),8
80dcc6f6-8f66-499a-a9cf-92082ab15c14,guard_puller,pressure_passer,Miyao,Rodolfo,0,0,guard_puller,Submission - Armbar (from Closed Guard),7
0efe4bb0-0cad-456d-84f3-df804e9e2631,wrestler,leg_locker,Iron Mike,Haisam,8,0,wrestler,Points - 8 to 0,21
27782675-dea4-42b6-aaf8-022e411b0d77,guard_puller,leg_locker,Miyao,Haisam,2,6,leg_locker,Points - 6 to 2,22
fc579f01-8b18-49a4-be9f-9f61d223c7e3,wrestler,submission_hunter,Iron Mike,Marcelo,2,0,wrestler,Submission - Kimura (from Side Control),3
d00135ee-88ac-4dfa-8af5-483ec2a141a9,leg_locker,pressure_passer,Haisam,Rodolfo,7,0,leg_locker,Points - 7 to 0,20
108103a9-20e6-4156-95ed-71fee31554ca,leg_locker,submission_hunter,Haisam,Marcelo,0,0,leg_locker,Submission - Outside Heel Hook,3
4e421ad7-1965-468b-b216-558870f0638a,pressure_passer,submission_hunter,Rodolfo,Marcelo,0,2,submission_hunter,Submission - Armbar (from Mount),21
01563e5a-97e3-4d4a-aa5f-42323a0e20ed,wrestler,pressure_passer,Iron Mike,Rodolfo,2,0,wrestler,Points - 2 to 0,20
f75387bd-d3b8-44a2-82e3-9f78d489fcd6,guard_puller,scrambler,Miyao,Ruotolo,0,4,scrambler,Points - 4 to 0,20
d9f8d369-851c-455e-a2f2-28d66111f458,pressure_passer,scrambler,Rodolfo,Ruotolo,6,4,scrambler,Submission - Rear Naked Choke,11
9eacfaae-bb08-42dd-a1e9-395eaa67e38f,wrestler,scrambler,Iron Mike,Ruotolo,0,0,wrestler,Submission - Anaconda Choke (from Front Headlock),6
1814c605-2d94-4707-828e-5a568d52f9a3,guard_puller,pressure_passer,Miyao,Rodolfo,0,0,guard_puller,Submission - Triangle Choke (from Closed Guard),3
4ec941bf-2fdb-46d5-bad9-a52431a45b4c,wrestler,guard_puller,Iron Mike,Miyao,0,2,guard_puller,Points - 2 to 0,22
b7bf0016-5900-47c3-b209-837c3c2908d1,guard_puller,leg_locker,Miyao,Haisam,0,0,leg_locker,Submission - Outside Heel Hook,3
ecdbba2e-cdac-4e17-841e-6c0a24e1336a,leg_locker,scrambler,Haisam,Ruotolo,0,0,leg_locker,Submission - Outside Heel Hook,11
0b8ce534-a80b-49d5-a8c0-68e9c7d46cfe,wrestler,leg_locker,Iron Mike,Haisam,4,0,leg_locker,Submission - Toe Hold,26
8ba0c4c0-947f-437a-b8f3-0cdae4af7e56,submission_hunter,scrambler,Marcelo,Ruotolo,0,6,submission_hunter,Submission - Triangle (from Lasso),14
d7af7b00-e7c0-455d-b1bb-7efa26e8dab0,guard_puller,submission_hunter,Miyao,Marcelo,0,0,guard_puller,Submission - Omoplata (from Rubber Guard),10
301b516f-1606-4058-86a8-e800cc594f03,wrestler,submission_hunter,Iron Mike,Marcelo,0,4,submission_hunter,Submission - Kimura (from Side Control),21
52a22c7e-581d-435d-92eb-e4688ba0a8d4,wrestler,submission_hunter,Iron Mike,Marcelo,4,0,wrestler,Submission - Americana (from Mount),8
896875a3-35c7-441c-99cb-ecdb2978918d,pressure_passer,submission_hunter,Rodolfo,Marcelo,0,0,submission_hunter,Submission - Kimura (from Closed Guard),9
35934030-870f-46e7-a390-c57329f6f943,leg_locker,scrambler,Haisam,Ruotolo,0,0,leg_locker,Submission - Outside Heel Hook,3
c270ef72-2c9d-4754-9bc1-bd6b30dcda90,wrestler,guard_puller,Iron Mike,Miyao,4,0,wrestler,Submission - Kimura (from Side Control),3
1125a9e9-9140-498b-b108-a3716cf4ba58,guard_puller,scrambler,Miyao,Ruotolo,6,2,guard_puller,Points - 6 to 2,23
dc0d832f-fed3-4ff5-861f-61b09fe458a0,wrestler,leg_locker,Iron Mike,Haisam,0,0,leg_locker,Submission - Outside Heel Hook,17
b2418c5b-cc94-4cac-8b04-24c80cdc5134,wrestler,scrambler,Iron Mike,Ruotolo,2,0,wrestler,Submission - Triangle (from Lasso),8
15daf0ea-0509-479a-9afb-5706a632b522,submission_hunter,scrambler,Marcelo,Ruotolo,4,0,submission_hunter,Submission - Arm Triangle (from Side Control),5
a440de33-640a-4c06-9443-f71c486e2026,guard_puller,leg_locker,Miyao,Haisam,5,0,guard_puller,Points - 5 to 0,22
4989011b-cecb-4b97-87b1-541cd2b3266e,guard_puller,submission_hunter,Miyao,Marcelo,2,0,submission_hunter,Submission - Kimura (from Half Guard Bottom),7
e7bed4da-b669-4bfc-b1b6-28fe2a440bb4,pressure_passer,scrambler,Rodolfo,Ruotolo,0,2,scrambler,Submission - Rear Naked Choke,14
7da4a158-b016-4682-b053-ce7c147d95fe,wrestler,pressure_passer,Iron Mike,Rodolfo,0,4,pressure_passer,Submission - Americana (from Side Control),9
bd692d12-8546-41be-aa14-8fc8ec0207db,leg_locker,pressure_passer,Haisam,Rodolfo,0,0,leg_locker,Submission - Outside Heel Hook,7
b2e37816-a43f-4aa0-a06e-f12c3a1a4344,guard_puller,pressure_passer,Miyao,Rodolfo,0,4,pressure_passer,Submission - Arm Triangle (from Side Control),5
528882ea-8152-4275-8b59-54cdea197525,leg_locker,submission_hunter,Haisam,Marcelo,0,0,leg_locker,Submission - Outside Heel Hook,3
f9e7da13-0d65-48d0-9143-6b9bdc99ce4b,wrestler,submission_hunter,Iron Mike,Marcelo,0,4,submission_hunter,Submission - Kimura (from Side Control),8
3328d1d1-229c-4ffa-9a23-732cb175870e,guard_puller,submission_hunter,Miyao,Marcelo,0,0,guard_puller,Submission - Kimura (from Closed Guard),5
a101e42e-7997-4307-808b-919a492d2dfd,wrestler,leg_locker,Iron Mike,Haisam,4,2,wrestler,Points - 4 to 2,20
0af2b6ef-27ea-45c3-aa6a-9877fd830f57,guard_puller,scrambler,Miyao,Ruotolo,9,2,guard_puller,Submission - Armbar (from Back Control),17
0fc10eff-1200-47fd-bb2d-b7c35468a284,wrestler,guard_puller,Iron Mike,Miyao,4,6,wrestler,Submission - Standing Guillotine,16
